a.	a.
A.	a.
a.a.O.	a.a.o.
a.D.	a.d.
a.M.	a.m.
a.Rh.	a.rh.
A.T.	a.t.
Abb.	abb.
abds.	abds.
Abf.	abf.
Abg.	abg.
Abk.	abk.
Abs.	abs.
Abschn.	abschn.
Abt.	abt.
abw.	abw.
abzgl.	abzgl.
Adr.	adr.
akad.	akad.
Akk.	akk.
allg.	allg.
am.	am.
amtl.	amtl.
Anh.	anh.
Ank.	ank.
Anl.	anl.
Anm.	anm.
Anw.	anw.
Art.	art.
Aufl.	aufl.
Aussch.	aussch.
b.	b.
b.w.	b.w.
Bd.	bd.
Bde.	bde.
Bed.	bed.
beil.	beil.
bes.	bes.
Best.-Nr.	best.-nr.
Betr.	betr.
Bez.	bez.
bez.	bez.
bezgl.	bezgl.
Bhf.	bhf.
Bl.	bl.
Bln.	bln.
bz.	bz.
Bz.	bz.
bzf.	bzf.
bzgl.	bzgl.
bzw.	bzw.
c.	c.
ca.	ca.
Cal.	cal.
Chr.	chr.
d.	d.
d.Ä.	d.ä.
d.h.	d.h.
d.J.	d.j.
Dat.	dat.
dgl.	dgl.
Di.	di.
Dipl.	dipl.
Dipl.-Ing.	dipl.-ing.
Dipl.-Kfm.	dipl.-kfm.
Dir.	dir.
Do.	do.
Doz.	doz.
Dr.	dr.
Dr.	dr.
dt.	dt.
Dtzd.	dtzd.
dz.	dz.
e.h.	e.h.
e.V.	e.v.
e.Wz.	e.wz.
ehem.	ehem.
eigtl.	eigtl.
einschl.	einschl.
entspr.	entspr.
erb.	erb.
erg.	erg.
Erw.	erw.
erw.	erw.
etw.	etw.
ev.	ev.
evtl.	evtl.
exkl.	exkl.
f.	f.
F.f.	f.f.
Fa.	fa.
Fam.	fam.
ff.	ff.
Ffm.	ffm.
Forts.f.	forts.f.
Fr.	fr.
Frl.	frl.
frz.	frz.
geb.	geb.
Gebr.	gebr.
gedr.	gedr.
gegr.	gegr.
gek.	gek.
Ges.	ges.
gesch.	gesch.
gest.	gest.
gez.	gez.
ggf.	ggf.
ggfs.	ggfs.
Ggs.	ggs.
Gr.	gr.
H.	h.
h.	h.
habil.	habil.
Hbf.	hbf.
Hd.	hd.
Hptst.	hptst.
Hr.	hr.
i.A.	i.a.
i.b.	i.b.
i.H.	i.h.
i.J.	i.j.
i.R.	i.r.
i.V.	i.v.
Ing.	ing.
Inh.	inh.
inkl.	inkl.
jew.	jew.
Jh.	jh.
jhrl.	jhrl.
jmd.	jmd.
jmdm.	jmdm.
jmdn.	jmdn.
jur.	jur.
k.A.	k.a.
K.o.	k.o.
k.o.	k.o.
k.u.k.	k.u.k.
Kal.	kal.
Kap.	kap.
kath.	kath.
kfm.	kfm.
Kfm.	kfm.
kgl.	kgl.
Kl.	kl.
Kpt.	kpt.
ld.	ld.
Ldkr.	ldkr.
led.	led.
lfd.	lfd.
Lfrg.	lfrg.
lg.	lg.
luth.	luth.
m.	m.
m.a.W.	m.a.w.
m.E.	m.e.
m.W.	m.w.
Mag.	mag.
Max.	max.
med.	med.
Mi.	mi.
Mill.	mill.
Min.	min.
Mio.	mio.
Mo.	mo.
möbl.	möbl.
Mrd.	mrd.
mtl.	mtl.
MwSt.	mwst.
MWSt.	mwst.
n.	n.
n.Chr.	n.chr.
N.N.	n.n.
n.u.Z.	n.u.z.
nachm.	nachm.
näml.	näml.
nat.	nat.
Nr.	nr.
o.	o.
o.A.	o.a.
o.B.	o.b.
o.g.	o.g.
Obb.	obb.
od.	od.
österr.	österr.
p.	p.
p.Adr.	p.adr.
Pfd.	pfd.
pharm.	pharm.
phil.	phil.
Pkt.	pkt.
Pl.	pl.
Prof.	prof.
Prov.	prov.
Quitt.	quitt.
r.	r.
r.k.	r.k.
r.-k.	r.-k.
rd.	rd.
Reg.	reg.
Reg.-Bez.	reg.-bez.
Rep.	rep.
resp.	resp.
Rgt.	rgt.
Rhld.	rhld.
röm.	röm.
röm.-kath.	röm.-kath.
S.	s.
s.a.	s.a.
s.o.	s.o.
s.u.	s.u.
Sa.	sa.
schles.	schles.
schwäb.	schwäb.
schweiz.	schweiz.
sek.	sek.
Sing.	sing.
So.	so.
sog.	sog.
soz.	soz.
spez.	spez.
St.	st.
Std.	std.
stdl.	stdl.
stellv.	stellv.
Str.	str.
südd.	südd.
svw.	svw.
Tab.	tab.
tägl.	tägl.
Tel.	tel.
u.	u.
u.a.	u.a.
u.ä.	u.ä.
u.Ä.	u.ä.
u.a.m.	u.a.m.
u.A.w.g.	u.a.w.g.
u.U.	u.u.
u.v.a	u.v.a
u.v.a.m.	u.v.a.m.
übers.	übers.
übertr.	übertr.
übl.	übl.
ugs.	ugs.
Univ.	univ.
urspr.	urspr.
usw.	usw.
V.	v.
v.	v.
v.Chr.	v.chr.
v.H.	v.h.
v.J.	v.j.
v.M.	v.m.
v.R.w.	v.r.w.
v.T.	v.t.
v.u.Z.	v.u.z.
Verf.	verf.
verh.	verh.
Verl.	verl.
verst.	verst.
verw.	verw.
vet.	vet.
vgl.	vgl.
vorm.	vorm.
Vors.	vors.
Whg.	whg.
Wwe.	wwe.
z.	z.
z.A.	z.a.
z.B.	z.b.
z.Hd.	z.hd.
z.K.	z.k.
z.T.	z.t.
z.Z.	z.z.
Zi.	zi.
Ziff.	ziff.
Zi-Whg.	zi-whg.
zur.	zur.
zus.	zus.
zw.	zw.
zzgl.	zzgl.